,Blue Top,Blue Jungle,Blue Mid,Blue Carry,Blue Support,Red Top,Red Jungle,Red Mid,Red Carry,Red Support,Outcome
1313,"['Larsenic17', 'Darius']","['Zedsterion ', 'Zed']","['SF Batonixxxx', 'Syndra']","['Mr Meliodas', 'Samira']","['Esca Łiburne', 'Nautilus']","['I have HIV', 'Vladimir']","['Sutisiunes', 'Elise']","['CoffeMixer41', 'Yone']","['Yossune', 'Vayne']","['Baches', 'Lulu']",False
1314,"['UmtitiSlave', 'Gnar']","['A Fancy Pinguin', 'Ekko']","['Hiding Pain', 'Kassadin']","['Yossune', 'Vayne']","['EsteNoEsProtegod', 'Lulu']","['Pig Muffin', 'Gragas']","['patient faithful', 'Hecarim']","['DarkStani02', 'Tristana']","['RudeDude', 'MissFortune']","['Belebdidet', 'Bard']",False
1315,"['Soo6', 'MonkeyKing']","['Blezzd', 'JarvanIV']","['Honest Psychosis', 'Syndra']","['Thè Founder', 'Draven']","['PM 4 ELO BOOOST', 'Nami']","['ka sauce ', 'Olaf']","['10k EGO', 'Graves']","['Pommisboy', 'Karma']","['Yossune', 'Vayne']","['WBD Nüzel', 'Braum']",True
1316,"['Viennarre', 'Shen']","['WPX Cevapcici', 'Taliyah']","['puppynamer', 'Yone']","['Yossune', 'Vayne']","['chupito baileys', 'Lux']","['asdfghjklö', 'Gnar']","['Uno Gl4ta', 'Nasus']","['TURBO LOSERSQ', 'Akali']","['envy desire', 'Caitlyn']","['BotBeasten', 'Senna']",True
1317,"['gros toutou ', 'Cassiopeia']","['Hearsthanks ', 'Qiyana']","['supp player', 'Ryze']","['V9 Bydox', 'Samira']","['Elefantenklo', 'Blitzcrank']","['Tasdinn1', 'Akali']","['hyyze', 'Graves']","['Pit1357', 'Anivia']","['Yossune', 'Vayne']","['AntFarmer', 'Senna']",True
1318,"['IFNTZ Mamace', 'Irelia']","['Mιlos', 'Hecarim']","['Reset The Levels', 'Sylas']","['Yossune', 'Vayne']","['jeffeditors', 'Janna']","['Batuqcmm', 'Yone']","['Chengdu Magician', 'XinZhao']","['DurhamRumble', 'Rumble']","['womu', 'Samira']","['Karasu Descent', 'Rell']",False
1319,"['sfoez', 'Jax']","['Sticksdlefid', 'FiddleSticks']","['LetsBlameMid', 'Kassadin']","['Draven Tate W', 'Draven']","['Altase', 'Senna']","['Arezki95', 'Gragas']","['Skakis', 'Zac']","['Fatadons', 'Kayle']","['Yossune', 'Vayne']","['TESLA XYZ', 'Lulu']",True
1320,"['Wettnoodles', 'Ornn']","['xd cocosis', 'Ekko']","['Oct0berzzz', 'Talon']","['YASIN CHALL ACC', 'Kaisa']","['RIDÍCULO', 'Twitch']","['reoace', 'Cassiopeia']","['FANRrrrrrrr', 'Kayn']","['ke ai baoo', 'Graves']","['Yossune', 'Vayne']","['Rock Ass', 'Blitzcrank']",False
1321,"['arthasic1', 'Gwen']","['Queef Inhaler', 'Ivern']","['Gleff', 'Yasuo']","['Yossune', 'Vayne']","['Ciapciak is here', 'Sona']","['Skøum', 'Mordekaiser']","['BLUE MAN EQEQEQ', 'Karthus']","['Raykzen', 'Gangplank']","['Jiferz', 'Nilah']","['Tolzdiq', 'Taric']",True
1322,"['CoomerGnome', 'Fiora']","['1v9 Yigit', 'Qiyana']","['iHazCarrot', 'Zoe']","['Yossune', 'Vayne']","['Bögu', 'Senna']","['SplitPushFanboy', 'Aatrox']","['Pato Carse', 'Taliyah']","['SLEEZ RELIGION ', 'Zed']","['L1L YACHTY BOII', 'Draven']","['Roćk', 'Nami']",False
1323,"['Kanata 50kg', 'Olaf']","['Wαitrose', 'Graves']","['kopiko10', 'Katarina']","['Sad Moist', 'Karthus']","['B00MSY', 'Senna']","['Jagasaki shoot', 'Urgot']","['Mr Ye', 'Zac']","['Proue', 'Diana']","['Yossune', 'Vayne']","['Arriéré Mental ', 'Nautilus']",True
1324,"['Bel Bug', 'Sion']","['Rosa Mew', 'Graves']","['x Lexo x', 'Sylas']","['RonzZzV', 'Samira']","['Shiny Nikky', 'Janna']","['arthasic1', 'Gwen']","['Jul Saint Jean', 'LeeSin']","['STREAMEZ SNORUNT', 'Kassadin']","['Yossune', 'Vayne']","['LethalRaptorJD', 'Lulu']",False
1325,"['Neikone', 'Darius']","['lοst faith', 'Hecarim']","['DUALIPATAYLORJOY', 'Twitch']","['Yossune', 'Vayne']","['8732647832', 'Nami']","['Tukarám', 'Shen']","['chokma', 'Vi']","['MeowingDuck420', 'Yone']","['T1 Pingu', 'Ezreal']","['ZzioizZ', 'Yuumi']",False
1326,"['Musasshi', 'Ornn']","['Iyalto', 'Udyr']","['21 Isatsu', 'Vladimir']","['Yossune', 'Vayne']","['ArduinoR3', 'Lulu']","['Pandule', 'Fiora']","['asd1241 uaa', 'Kayn']","['streghetta', 'Syndra']","['Foxxsen', 'Kaisa']","['meow abvser', 'Leona']",False
1327,"['Uratöötti', 'Garen']","['Answer', 'Shaco']","['Berisleasimb', 'Vex']","['FlyingTurtles', 'Caitlyn']","['Primož Roglič', 'Yuumi']","['NeverMakeExcuses', 'Malphite']","['Goldy LoL', 'Viego']","['Hokage Merkel', 'Syndra']","['Yossune', 'Vayne']","['Lalalaaaaaaaaaaa', 'Lulu']",False
1328,"['BETTER TOP SPINS', 'Tryndamere']","['TrailoJG', 'RekSai']","['ChinoisAttack', 'Ziggs']","['Yossune', 'Vayne']","['Rën', 'Zilean']","['Portíschen', 'Gragas']","['eeLbo0fii', 'Diana']","['Daro Lew ŁAAA', 'Talon']","['PeteyGod', 'Draven']","['Babygirl', 'Lulu']",False
1329,"['Leksa MID', 'Irelia']","['bunanimini', 'Viego']","['SHREÐÐEÐ', 'Chogath']","['Yossune', 'Vayne']","['JDG T1 DK EDG', 'Janna']","['Yabisar', 'Maokai']","['xGrillmeisterx', 'MonkeyKing']","['Haseng', 'Viktor']","['yaesr', 'Draven']","['Δ Greeήσíș Δ', 'Yuumi']",True
1330,"['Viennarre', 'Aatrox']","['Meister Shîfu', 'Belveth']","['iHazCarrot', 'Zoe']","['GDG Lazarus', 'Varus']","['GDG Ayden', 'Thresh']","['Bladesurge123', 'Sion']","['TrailoJG', 'RekSai']","['Yamete Gosu', 'Vex']","['Yossune', 'Vayne']","['AF Paff', 'Swain']",False
1331,"['Dépressif 2 Loco', 'Jax']","['I am gooder', 'Rengar']","['Benson Freitas', 'Ziggs']","['Yossune', 'Vayne']","['Ngaylenn', 'Lulu']","['Entourloupe', 'Volibear']","['Demon Zyzz', 'RekSai']","['Kαzhel', 'Syndra']","['i smell garbage', 'Tristana']","['Nate Griffin', 'Blitzcrank']",False
1332,"['Laktrin', 'Renekton']","['Irdian', 'Viego']","['KRKK HighPing', 'Viktor']","['Ouhatolth', 'Caitlyn']","['Gingirinjangiuge', 'Zilean']","['its yust over', 'Riven']","['Kofi', 'RekSai']","['scared king 99', 'Kassadin']","['Yossune', 'Vayne']","['Patshu', 'Nami']",False
1333,"['CC Your Mental', 'Irelia']","['Die for Scuttle', 'Volibear']","['MARM0 v2', 'Orianna']","['Laybock', 'Kaisa']","['HÆppenz', 'Alistar']","['JAX INCIDENT', 'Garen']","['SheadCarry', 'Rengar']","['Kim seon ho', 'Chogath']","['Yossune', 'Vayne']","['Luk1104', 'Renata']",True
1334,"['VRΛHIL', 'Malphite']","['Fallon', 'Nunu']","['CPAS MEHDI', 'Syndra']","['mastropuerco', 'Sivir']","['xsfxy', 'Renata']","['rangetopgigachad', 'Quinn']","['Muertealfa', 'Elise']","['Få mig ud', 'Vex']","['Yossune', 'Vayne']","['Fakersillo', 'Leona']",False
1335,"['Brein met benen', 'Urgot']","['BaroI', 'Ekko']","['baadoook', 'Viktor']","['Yossune', 'Vayne']","['Proxyfox', 'Nami']","['GiraffaSpotify', 'Jax']","['GÒDYR', 'Udyr']","['PhoenixDown', 'Anivia']","['natsch5', 'Kaisa']","['Rod1 is Insane', 'Xerath']",True
1336,"['CareIess', 'Riven']","['Avεdis', 'LeeSin']","['Manelo', 'Vex']","['VOICES ARE HAPPY', 'Jhin']","['Sold Pets For RP', 'Soraka']","['MLN Mgumbi', 'Janna']","['yuumi enjoyer1', 'Kayn']","['Lunarage', 'Viktor']","['Yossune', 'Vayne']","['StahlWolf', 'Lulu']",False
1337,"['AvailableToSleep', 'Gangplank']","['Kurronos', 'Hecarim']","['Espeduar', 'Zed']","['Trayzer', 'Tristana']","['Kïnn', 'Renata']","['aardun', 'Camille']","['Densidade', 'Khazix']","['cs over kp', 'Zac']","['HELLA FRESH', 'Lux']","['Keildwor', 'Zoe']",True
1338,"['Hubisos', 'Fiora']","['YOU MÍRIN BRAH', 'Yone']","['cs over kp', 'Zac']","['man like kvbi', 'Varus']","['PLowSurfer', 'Xerath']","['L9 Irelia07', 'Irelia']","['wohaoxiangjia', 'Diana']","['ÐDR17', 'Ziggs']","['Trayzer', 'Tristana']","['Batele', 'Nami']",False
1339,"['BlueHades', 'Camille']","['Hz page', 'Hecarim']","['cs over kp', 'Zac']","['CiotoPêdał', 'Samira']","['itisvik', 'Seraphine']","['AvailableToSleep', 'Gangplank']","['Creation Rebirth', 'Evelynn']","['Zenïn Maki', 'Graves']","['No1 Coinflipper', 'Kaisa']","['Rose again', 'Janna']",False
1340,"['Kritias Fanboy', 'Riven']","['ASSASSXN', 'Mordekaiser']","['CyzeL', 'Vladimir']","['lymao', 'Sivir']","['renatak1ng', 'Sona']","['elunaitxete', 'Darius']","['lppur3ps3', 'Lillia']","['cs over kp', 'Zac']","['rjmxq', 'Kaisa']","['Blueben', 'Yuumi']",True
1341,"['Sanest Summoner', 'Camille']","['ºIºIºIºIºIºIº', 'Kayn']","['Meme generator', 'Vex']","['cs over kp', 'Tristana']","['known pro', 'Janna']","['Sigma Godfrey', 'Renekton']","['Chef Artun', 'Rengar']","['ZEKA DA TUGA', 'Syndra']","['Depressed soloq', 'Kaisa']","['Pybal', 'Sylas']",False
1342,"['Phrxshn', 'Singed']","['cs over kp', 'Zac']","['Implatam', 'Syndra']","['Wor', 'Ezreal']","['CrabLord xD', 'Nautilus']","['Kasâp', 'Yone']","['Pepospo', 'Vi']","['Formes', 'Sylas']","['FC CatSpeedy 08', 'Ziggs']","['ChrisDahl', 'Thresh']",True
1343,"['geia sou daskale', 'Irelia']","['Parcush', 'Talon']","['TMT Boryoku', 'Ahri']","['sammuxx', 'Caitlyn']","['MATA999', 'Heimerdinger']","['LIMONCELL0 PAZZO', 'Ornn']","['cs over kp', 'Zac']","['Zahiel', 'Annie']","['DizzyOwnage', 'Ezreal']","['pinqeri', 'Yuumi']",False
1344,"['MrRoken', 'Camille']","['Allen lverson', 'Nocturne']","['Brixton', 'Karma']","['EyKo Sama', 'Aphelios']","['Ξ Jack Ξ', 'Maokai']","['røbbed int acc', 'Yone']","['cs over kp', 'Zac']","['Zahiel', 'Annie']","['Grizenon', 'Varus']","['Sam Sinister', 'Renata']",False
1345,"['Thresh 1Vs9', 'Aatrox']","['cs over kp', 'Zac']","['h8low', 'Viktor']","['Didier Drσgba', 'Varus']","['Amanda Tapping', 'Bard']","['Nivle own you', 'Gragas']","['exc1sed', 'Hecarim']","['backlund fanboi', 'Olaf']","['Slyv3r', 'Jhin']","['xJoniOmi', 'Karma']",True
1346,"['Zephyr1', 'Teemo']","['The Cheshire Cat', 'Talon']","['DISTRUTTO DENTRO', 'AurelionSol']","['Coldfeeling', 'Kaisa']","['HAN KE BAC TINH', 'Nautilus']","['come back rüven', 'Riven']","['cs over kp', 'Zac']","['Dashing sword', 'Irelia']","['HELLA FRESH', 'Varus']","['Netherim', 'Thresh']",False
1347,"['caonima de shabi', 'Olaf']","['cs over kp', 'Zac']","['FlexOverlord', 'Vladimir']","['Preyse', 'Kaisa']","['Supermanco297', 'Janna']","['1etsthink', 'Mordekaiser']","['Tanky What', 'Warwick']","['fak', 'Diana']","['Hi pref ADCurry', 'Jhin']","['Stargaze with me', 'Nami']",True
1348,"['Hultanu', 'Irelia']","['cs over kp', 'Zac']","['Flantinkab', 'Corki']","['i love hêr', 'Caitlyn']","['DrΕξ Low', 'Renata']","['Instant Céleste', 'Aatrox']","['Challenger Smite', 'Gragas']","['Air IV', 'Orianna']","['Dark Phoénix', 'Lucian']","['Moiraya', 'Thresh']",True
1349,"['MrMajoor', 'Sejuani']","['cs over kp', 'Zac']","['it is secret ', 'Viego']","['Wowter', 'Jhin']","['Aegis of Heaven', 'Syndra']","['Saijax5', 'Shen']","['sing 505 w you', 'Nidalee']","['VeigarV2drunkAcc', 'Tristana']","['hybristophilia', 'MissFortune']","['Zhangwenli', 'Yuumi']",True
1350,"['MrMajoor', 'Fiora']","['cs over kp', 'Zac']","['Project Haaland', 'Syndra']","['Slice Fanboy', 'Ashe']","['Bostion', 'Morgana']","['1etsthink', 'MonkeyKing']","['DAG2MOON', 'Elise']","['Amuñ', 'Swain']","['HEC Eugene ', 'Jinx']","['CroniQz', 'Renata']",False
1351,"['Akmy Shapud', 'Yone']","['zaiiche', 'Mordekaiser']","['ibte', 'Orianna']","['Ragondint', 'Kaisa']","['Malcom24', 'Blitzcrank']","['DUMPIXOTA', 'Aatrox']","['FBX Slay', 'MonkeyKing']","['Frabo', 'Viktor']","['lovigno', 'Brand']","['Graits', 'Nami']",False
1352,"['Jiuwo xiongdi', 'Gangplank']","['Fán ω', 'Graves']","['ownedbyBenny', 'Ahri']","['Mannokeded', 'Nilah']","['KIΤTYIRL', 'Sejuani']","['zaiiche', 'Fiora']","['TomFleec', 'Karthus']","['CarlJohnsonProut', 'Akali']","['maly zydek', 'Lucian']","['Elcaa', 'Nami']",True
1353,"['xd Belo', 'Yone']","['NoobsDragon', 'Karthus']","['cebula na wescie', 'Graves']","['cambridge xueba', 'Kalista']","['Sólemn', 'Pyke']","['zaiiche', 'Gnar']","['God Contryx', 'Evelynn']","['positive Tæ', 'Zed']","['a summer breeze', 'Aphelios']","['eroutero1', 'Gragas']",False
1354,"['zaiiche', 'Fiora']","['Khanzir ', 'Khazix']","['i tested beta', 'Varus']","['UwUForfun', 'Ezreal']","['FireKeeperSoul', 'Janna']","['NUGURIII IS BACK', 'Gragas']","['BIG Trez', 'Graves']","['LeestonoszPL', 'Sylas']","['ure wonderful', 'Jinx']","['Nadonattylo', 'Lulu']",False
1355,"['CracklingEnigma', 'Yone']","['Chrisio', 'Viego']","['VLADVLADVLAD', 'Sylas']","['makbeim', 'Varus']","['1AutumnLeaf', 'Janna']","['zaiiche', 'Fiora']","['Khanzir ', 'Khazix']","['Duality', 'Zed']","['spoko stary', 'Seraphine']","['LFT Zest', 'Rell']",True
1356,"['zaiiche', 'Olaf']","['Egσ', 'Diana']","['Church of Tate', 'Malzahar']","['TacchinoMeschino', 'Kaisa']","['makbeim', 'Nautilus']","['12473414', 'Aatrox']","['Maribeth Monroe', 'Zed']","['KoreOFF', 'Katarina']","['BMW E30 Sâlih', 'Tristana']","['Uciceldricar', 'Maokai']",False
1357,"['slepac', 'LeeSin']","['SJTUfiora', 'Elise']","['Hannesy', 'Akshan']","['ECD', 'Varus']","['V9A Rem', 'Bard']","['zaiiche', 'Fiora']","['Stonix', 'Rengar']","['Tenchi1234', 'Ornn']","['Hugiitop', 'Tristana']","['ScripteÐ ', 'Rakan']",False
1358,"['Chąrles', 'Jax']","['Stonix', 'Rengar']","['Sora v9', 'Viktor']","['newnamenewme', 'Kaisa']","['J00', 'Heimerdinger']","['zaiiche', 'Gragas']","['MORRISSSON', 'Vi']","['Getslide san', 'Kayle']","['floris75', 'Vayne']","['MUTED D0G', 'Karma']",True
1359,"['zaiiche', 'Fiora']","['HNU Niklaf', 'JarvanIV']","['thekiller888888', 'Xerath']","['fe3n1x', 'Ashe']","['Zokrates 1', 'Renata']","['NN Enva', 'Camille']","['Prince Neik', 'Talon']","['bebko', 'Sylas']","['UCAM Lisbd', 'Draven']","['Wınged Dragon Ra', 'Thresh']",True
1360,"['zaiiche', 'Graves']","['CHUPAPÌMUNYANYO', 'Rengar']","['RaNax999', 'Syndra']","['newnamenewme', 'Kaisa']","['Showtimez XD', 'Leona']","['Arcanian', 'Ornn']","['MAM HODNE SWAGU', 'Mordekaiser']","['BITE PURE', 'Viego']","['meduska', 'Draven']","['VES DragonShrek', 'Karma']",True
1361,"['zaiiche', 'Fiora']","['Yayradal', 'Diana']","['Gérg', 'Nocturne']","['IWannaFallInLove', 'Caitlyn']","['BigBadAndMad', 'Senna']","['boohootwo', 'Illaoi']","['Orchíde', 'Ekko']","['bringbacksiberia', 'Syndra']","['Therylvann', 'Yasuo']","['Lo Fang', 'Rakan']",True
1362,"['zaiiche', 'Graves']","['SUP 157', 'Diana']","['KruzerZ', 'Syndra']","['Zileanek', 'MissFortune']","['Bard is Art', 'Bard']","['mimitrolo', 'Darius']","['GremlinsSan', 'Vi']","['Shiôon', 'Garen']","['Machal', 'Draven']","['Hootis', 'Nami']",False
1363,"['zaiiche', 'Fiora']","['SalmanSin', 'Rengar']","['Google Worker', 'Viktor']","['taliboo fun acc', 'Ezreal']","['AlfredoRato55', 'Yuumi']","['Axotytawar', 'Camille']","['newnamenewme', 'Kindred']","['Yunyi Kata2', 'Katarina']","['rjmxq', 'Syndra']","['AFN Fede', 'Senna']",False
1364,"['zaiiche', 'Fiora']","['gvoswp', 'Graves']","['ßeeIzemon', 'Sylas']","['edgy fïsh', 'Chogath']","['Κitano Ken', 'Senna']","['Korean Kiksa', 'Jax']","['Meika1', 'Udyr']","['EKKO C TIER', 'Ekko']","['CLG Ivok', 'Kaisa']","['GL IN MACDONALD', 'Pyke']",False
1365,"['AlfredoRato74', 'Lillia']","['Meika1', 'Rengar']","['pizza 2', 'Syndra']","['Agent XIV', 'Caitlyn']","['Impredictible', 'Yuumi']","['zaiiche', 'KSante']","['Shaohuiek', 'Taliyah']","['Smurfegutten', 'Graves']","['BlG In Japan', 'Twitch']","['Tindesco', 'Pantheon']",True
1366,"['SuicideSushi', 'Belveth']","['Gwenn ha Du', 'Udyr']","['pizza 2', 'Syndra']","['Œ Þ μ ß Æ', 'Lucian']","['Wânhedã', 'Nami']","['zaiiche', 'Fiora']","['Dont Wana Win TB', 'Kindred']","['daleste', 'Akali']","['Just a flex', 'Xerath']","['Peterawr', 'Viego']",False
1367,"['Jujujulll', 'Cassiopeia']","['nextryv1', 'Rengar']","['Worse JungIer', 'Qiyana']","['PROMETHAZiNE7', 'Kaisa']","['Bubble Bàth ', 'Janna']","['zaiiche', 'Jayce']","['OCT MagicPants', 'MonkeyKing']","['LuTinClient', 'Akali']","['CG Høkage', 'Yasuo']","['KINGTARICC', 'Taric']",False
1368,"['zaiiche', 'Fiora']","['Szamocin Rengar', 'Lucian']","['NKP ImaMango', 'Sylas']","['Alberner Albert', 'Draven']","['76ers', 'Velkoz']","['Sset ', 'Viego']","['Worse JungIer', 'Zed']","['LuTinClient', 'Akali']","['Bubchilla', 'Ezreal']","['RIÐÐ', 'Sona']",False
1369,"['Squoshy', 'Nocturne']","['Huet', 'Mordekaiser']","['Cløwn', 'Lissandra']","['Aki Kyaa', 'Aphelios']","['RIÐÐ', 'Sona']","['zaiiche', 'Fiora']","['Pyuckerchu', 'Sylas']","['Ζem', 'Rumble']","['HexBlue', 'Draven']","['iyon ali', 'Renata']",True
1370,"['zaiiche', 'Fiora']","['lIllIllIlIlIlll', 'Camille']","['GWFWV Player', 'Ryze']","['Senzaiemon', 'Vayne']","['Uciceldricar', 'Yuumi']","['tibijczykzvesti', 'Rumble']","['Moufy', 'MonkeyKing']","['Genellaunoal', 'Galio']","['AE M1ch34l', 'Twitch']","['guwnojad mammon', 'Swain']",True
1371,"['Kalistran', 'Riven']","['aqzvn', 'MonkeyKing']","['Klaus Thuesen', 'Kassadin']","['Big Barry 00', 'Kaisa']","['Twenty4Tim', 'Bard']","['zaiiche', 'Ornn']","['königreích ', 'Vi']","['Sveldessu', 'Vladimir']","['ellie is okay', 'Varus']","['AdiTheGoodGuy', 'Sylas']",True
1372,"['LewisaSl', 'Tryndamere']","['S13 Iron Prodigy', 'XinZhao']","['S13 Iron Scrub', 'Ryze']","['Chrysostome', 'Senna']","['Aki Kyaa', 'Zilean']","['zaiiche', 'Jayce']","['Astaaaa', 'Elise']","['rok1', 'Graves']","['godmode ad', 'Xayah']","['Nefarian Serpine', 'Swain']",True
1373,"['MinnerLetsPlay', 'KSante']","['jokaa', 'Nidalee']","['DOREANZAXAROTA', 'Irelia']","['Semlorisha', 'Ezreal']","['FiddSky', 'Soraka']","['zaiiche', 'Camille']","['TwTv ItsHurrican', 'Hecarim']","['floris75', 'Teemo']","['EWS Flowsnake', 'Kalista']","['Impredictible', 'Nautilus']",False
1374,"['BBE Kambo', 'Gragas']","['königreích ', 'Vi']","['KoreanSoloLaner', 'Sylas']","['Menneke Poets', 'Caitlyn']","['Curα', 'Heimerdinger']","['zaiiche', 'Sion']","['Pepospo', 'Elise']","['yksilö', 'Syndra']","['AGO Daniels', 'Ezreal']","['yUUpi', 'Zilean']",False
1375,"['zaiiche', 'Fiora']","['Pyuckerchu', 'Sylas']","['DjhornymilfQT', 'Irelia']","['Rob3rcik1337', 'Kaisa']","['Kim Bardashian', 'Heimerdinger']","['hoqi', 'Jayce']","['Suchy Karaluch', 'JarvanIV']","['Virgis', 'Syndra']","['ur memories hurt', 'Draven']","['yes sorry daddy', 'Janna']",True
1376,"['FaithfulSlayer', 'Darius']","['Basstrain', 'Elise']","['resilience32', 'Viego']","['Rob3rcik1337', 'Kaisa']","['grass enthusiast', 'Nautilus']","['zaiiche', 'KSante']","['Renya Carasuma', 'Kayn']","['Sprϊng', 'Syndra']","['JorgeL', 'Jhin']","['Kim Bardashian', 'Rell']",True
1377,"['BA2030', 'Aatrox']","['2453454561234565', 'Graves']","['Yami Sukεhiro', 'Chogath']","['M6Freak', 'MissFortune']","['ThomasloI', 'Karma']","['zaiiche', 'Fiora']","['TSM BlindAvenger', 'Zed']","['Zeþhir', 'Katarina']","['player11', 'Draven']","['fueenao', 'Ornn']",True
1378,"['Guobryce', 'Shen']","['skyztrix', 'Viego']","['YameteOniiiiChan', 'Seraphine']","['TTV Abolift', 'Ezreal']","['metabender', 'Xerath']","['zaiiche', 'Fiora']","['peteyb', 'Khazix']","['BabaJaga533', 'Syndra']","['SweatIRL', 'Jinx']","['Kuþuś', 'Lulu']",True
1379,"['ZeriMain', 'Zeri']","['CrazyGurkä', 'Kindred']","['PD Lynx', 'Syndra']","['ΓΦΔ ΤΩβι', 'Karthus']","['Traint', 'Nami']","['zaiiche', 'Fiora']","['Titaeshu', 'Ekko']","['4Sekkonds do OLX', 'Akshan']","['Mia Rodriguez', 'Ezreal']","['Boles My Sui', 'Lulu']",True
1380,"['zaiiche', 'Shen']","['Xiaochengdongxue', 'Talon']","['S12WillBeBetter', 'TwistedFate']","['Wallx', 'Draven']","['Luukk', 'Yuumi']","['IM A SPORT MOTOR', 'Gwen']","['slow decline', 'MasterYi']","['BL Koni', 'Viktor']","['TripleApple', 'Jinx']","['Baweu Yśsa', 'Twitch']",True
1381,"['blade dancer v2', 'Renekton']","['MV3 Maneti', 'Sejuani']","['Zahiel', 'Annie']","['1337dáber', 'Ezreal']","['Ninja ShielD', 'Alistar']","['zaiiche', 'Sion']","['LFT Jarabo', 'Hecarim']","['mucahitbee', 'Kassadin']","['Slaanesh Is Love', 'Yasuo']","['Lil Thorsten', 'Yuumi']",True
1382,"['zaiiche', 'KSante']","['Patrik Bateman', 'Hecarim']","['Sècrèt', 'Ryze']","['ExcusesLike', 'Ezreal']","['nessik', 'Nami']","['Allié 1', 'Yasuo']","['l0ve1y', 'Graves']","['Zahiel', 'Annie']","['Tigerrocks', 'Kaisa']","['GRP aChuckArell', 'Nautilus']",False
1383,"['BestBaldRiven', 'Riven']","['PR0DIGY XXX', 'Khazix']","['zaiiche', 'Gragas']","['ExcusesLike', 'Caitlyn']","['Coothas', 'Blitzcrank']","['Reabzi', 'Aatrox']","['sylvemadness', 'Zac']","['Allié 1', 'Yasuo']","['l0ve1y', 'Samira']","['Adwön', 'Nautilus']",True
1384,"['hun tian di', 'Camille']","['rnzrnz', 'Vi']","['love you twice', 'Katarina']","['TGF ', 'Twitch']","['AYAYA je teplej', 'Yuumi']","['zaiiche', 'KSante']","['NO CHAT FAST WIN', 'Qiyana']","['Deus Benificium', 'Kassadin']","['rpfkddqv', 'Kaisa']","['Iing', 'Janna']",True
1385,"['zaiiche', 'Sion']","['Liwaine', 'Nocturne']","['Aleonem', 'Zed']","['EzrieL9', 'Karthus']","['Iffelger', 'Nami']","['AYAYA je teplej', 'Darius']","['REMYdonteatPOO', 'Hecarim']","['NO CHAT FAST WIN', 'Talon']","['Randerdi', 'Samira']","['Tenebiiss', 'Amumu']",True
1386,"['come back rüven', 'Riven']","['REMYdonteatPOO', 'Graves']","['3skythe skot', 'Lissandra']","['DETOX LUCA', 'Twitch']","['Llum me arruinó', 'Lulu']","['zaiiche', 'KSante']","['Mafro1', 'Zed']","['kyhd', 'Ryze']","['Muteall100ping', 'Kaisa']","['baliii', 'Heimerdinger']",True
1387,"['zaiiche', 'KSante']","['AyoCoinFlipCheck', 'Lillia']","['Rosehip', 'Zed']","['Rìtix', 'Tristana']","['Joel MiIIer', 'Renata']","['My Sweetie Pig', 'Camille']","['Gia', 'Rengar']","['bilan8ropos', 'Syndra']","['caibing', 'Fiora']","['Sip White Stuff', 'Nami']",False
1388,"['zaiiche', 'Gragas']","['good mental cap', 'Hecarim']","['Sigge McQuack', 'Ryze']","['NAK FantaFelix', 'Jhin']","['Toatsy', 'Heimerdinger']","['Puissance de feu', 'Darius']","['OtuneHereIcome', 'Skarner']","['Mils mid', 'Syndra']","['Melο', 'Varus']","['Jettling', 'Sona']",False
1389,"['zaiiche', 'KSante']","['OtuneHereIcome', 'Kayn']","['cCcXDcCc', 'Syndra']","['why r u bully', 'Aphelios']","['LeTiClown', 'Velkoz']","['Chao KING', 'Gangplank']","['The Green Mile', 'Zac']","['ttv Kyubaex', 'Veigar']","['BlG In Japan', 'Caitlyn']","['Handdoek35', 'Zyra']",True
1390,"['zaiiche', 'DrMundo']","['icsd ', 'Sejuani']","['BL Koni', 'Viktor']","['ElswordGrinder', 'Kaisa']","['Badabouing', 'Rakan']","['back To 1116', 'Kennen']","['Sriffow', 'Graves']","['Enchanter Gaming', 'Vex']","['Nøname ADC', 'Samira']","['KCRA Sami', 'Nautilus']",False
1391,"['MisiuPrzytulisiu', 'Camille']","['Hâmdi', 'Sejuani']","['cobii20', 'Sylas']","['Sjedow', 'Kalista']","['JE SUIS LUBZZ', 'Lulu']","['zaiiche', 'Gragas']","['LORNA SHΟRE', 'Hecarim']","['Slendiii', 'Galio']","['B5 Tobai', 'Aphelios']","['Sharkked', 'Renata']",True
1392,"['zaiiche', 'Olaf']","['stewie grief1n', 'Volibear']","['Banana I Hammer', 'Karthus']","['Hopson2', 'Samira']","['S3rious Jok3r', 'Zyra']","['Sir StormS', 'Urgot']","['Vaalouu', 'Kindred']","['SXL I v66 XT', 'Gwen']","['estang', 'MissFortune']","['zzmya', 'Leona']",True
1393,"['Fluked', 'Aatrox']","['Gerriku', 'Viego']","['CombazAz', 'Akali']","['Ich hasse adc', 'Kaisa']","['Kuraido', 'Karma']","['zaiiche', 'Gragas']","['Haaaaaades', 'LeeSin']","['Itαchı', 'Ryze']","['Main Azzir', 'Caitlyn']","['marty on support', 'Nautilus']",False
1394,"['zaiiche', 'Olaf']","['CrK', 'MasterYi']","['Alvaro Burrata', 'Sylas']","['PcF MadDodge', 'Jhin']","['treckun', 'Karma']","['Fëlix', 'Malphite']","['Scrubnootje', 'LeeSin']","['Rakí', 'Syndra']","['XERATH lS SCRIPT', 'Ezreal']","['Slendiii', 'Sona']",False
